Testing filename MSXWOOD.SC2
swapping 0 en 33
swapping 1 en 34
swapping 2 en 65
swapping 3 en 66
swapping 4 en 35
swapping 5 en 36
swapping 6 en 67
swapping 7 en 68
swapping 8 en 37
swapping 9 en 38
swapping 10 en 69
swapping 11 en 70
swapping 12 en 97
swapping 13 en 98
swapping 14 en 129
swapping 15 en 130
swapping 16 en 99
swapping 17 en 100
swapping 18 en 131
swapping 19 en 132
swapping 20 en 101
swapping 21 en 102
swapping 22 en 133
swapping 23 en 134
swapping 24 en 103
swapping 25 en 104
swapping 26 en 135
swapping 27 en 136
swapping 28 en 105
swapping 29 en 106
swapping 30 en 137
swapping 31 en 138
swapping 32 en 107
swapping 33 en 108
swapping 34 en 139
swapping 35 en 140
swapping 36 en 109
swapping 37 en 110
swapping 38 en 141
swapping 39 en 142
swapping 40 en 111
swapping 41 en 112
swapping 42 en 143
swapping 43 en 144
swapping 44 en 113
swapping 45 en 114
swapping 46 en 145
swapping 47 en 146
swapping 48 en 56
swapping 49 en 57
swapping 50 en 58
fe140001fe1400017e153f173e151f17
no doubles found
